Project key,Issue type,Summary,Description,Status,Assignee,Reporter,Labels,Due date,Start date,Sprint,Story point estimate,Parent,Team
QA,Epic,QA-1 — Fase 0: Setup repositorio y entorno local,Preparar monorepo; Docker Compose dev; README; .env.example; ramas y convenciones según Plan v3.0 y GUIA_IMPLEMENTACION.,To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-01,2026-05-01,,5,,
QA,Epic,QA-2 — Fase 1: Core funcional productos y stock,Dominio product y stock; Flyway; API REST /api/v1; Swagger; reglas de negocio MVP.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 core-backend,2026-05-06,2026-05-06,,8,,
QA,Epic,QA-3 — Fase 2: Seguridad Keycloak y permisos granulares,Resource Server; realm export; JWT; @PreAuthorize; pruebas 401/403; CORS.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security,2026-05-11,2026-05-11,,8,,
QA,Epic,"QA-4 — Fase 3: Dashboard, reportes y auditoría Envers",Módulos report y audit; UI dashboard y /audit; KPIs y productos críticos.,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 reports,2026-05-16,2026-05-16,,5,,
QA,Epic,QA-5 — Fase 4: Testing full stack y evidencias,"Unit, integration, API, E2E, security, performance; JaCoCo; reportes en docs/qa-evidence.",To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing,2026-05-21,2026-05-21,,13,,
QA,Epic,QA-6 — Fase 5: Observabilidad OpenTelemetry y Grafana stack,"OTLP, Alloy, Prometheus, Loki, Tempo, Grafana, Alertmanager; dashboards y alertas.",To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-27,2026-05-27,,8,,
QA,Epic,"QA-7 — Fase 6: CI/CD GitHub Actions, Jenkins y SonarQube",Workflows PR; Jenkinsfile; quality gate; deploy staging; post-deploy smoke.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd,2026-06-01,2026-06-01,,8,,
QA,Epic,QA-8 — Fase 7: Documentación final y defensa,Actualizar docs; capturas checklist; ensayo presentación; qa-evidence completo.,To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-06,2026-06-06,,5,,
QA,Story,QA-9 — Estructura monorepo según plan técnico,"Crear árbol: backend, frontend, docker, observability, keycloak, tests, docs, .github/workflows, Jenkinsfile, docker-compose dev/staging/test, .env.example, README. Criterio: clone y estructura visible.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-01,2026-05-01,,3,,
QA,Task,QA-10 — Configurar .gitignore y política de secretos,"Ignorar node_modules, target, .env, dist, reportes, .idea. Documentar que .env no se versiona.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-02,2026-05-02,,1,,
QA,Task,QA-11 — README inicial: stack y arranque en dev,"Descripción, stack (Spring Boot 3, React, PostgreSQL, Keycloak), prerequisitos, comando docker compose dev, enlaces a /docs.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 docs,2026-05-02,2026-05-02,,2,,
QA,Task,QA-12 — Plantilla .env.example con variables mínimas,"Según Anexo A del plan: perfiles Spring, DATABASE_*, KEYCLOAK_*, OTEL_*, VITE_*, Grafana, Sonar, Jenkins (placeholders).",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 setup,2026-05-03,2026-05-03,,1,,
QA,Task,"QA-13 — docker-compose.dev.yml (postgres, keycloak, backend, frontend)","Puertos 5432, 8081, 8080, 3000; red interna; healthchecks básicos donde aplique.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 infra,2026-05-04,2026-05-04,,3,,
QA,Task,QA-14 — Inicializar Spring Boot 3 + Java 21 en backend,InventoryApplication en com.company.inventory; perfiles dev/test; Actuator /actuator/health público.,To Do,,CAROLINA BENCOSME,inventory-qas fase-0 backend,2026-05-04,2026-05-04,,2,,
QA,Task,QA-15 — Inicializar frontend Vite + React + TypeScript,"strict TS; carpetas pages, components, hooks, lib, types; Tailwind + shadcn base.",To Do,,CAROLINA BENCOSME,inventory-qas fase-0 frontend,2026-05-05,2026-05-05,,2,,
QA,Story,QA-16 — Migraciones Flyway V1–V7 del dominio inventario,V1 categories; V2 products; V3 stock_movements; V4 users_profile; V5 auditoría Envers; V6 seed; V7 índices y constraints. Alinear con data-model.md y plan.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 database,2026-05-06,2026-05-06,,5,,
QA,Task,QA-17 — Módulo common: excepciones y respuesta error estándar,"JSON con timestamp, status, error, message, path, correlationId; @ControllerAdvice.",To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend,2026-05-06,2026-05-06,,2,,
QA,Task,"QA-18 — CorrelationIdFilter, MDC y logging estructurado",Propagar correlationId en operaciones críticas; preparar integración con trazas OTEL.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend observability,2026-05-07,2026-05-07,,2,,
QA,Task,"QA-19 — Entidades JPA Product, Category y repositorios",SKU único; relación categoría; status e inactivación; Envers en entidades críticas (RF-AUD).,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend,2026-05-07,2026-05-07,,3,,
QA,Task,"QA-20 — CRUD API productos: DTOs, mapper, validaciones",GET/POST/PUT/DELETE /api/v1/products; paginación búsqueda filtros orden; 409 SKU duplicado; precio y stock inicial no negativos (RF-PROD).,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend rf-prod,2026-05-07,2026-05-07,,5,,
QA,Task,QA-21 — OpenAPI 3 + Swagger UI en dev/staging,"Esquema security Bearer JWT; descripciones, ejemplos, códigos 200/201/400/401/403/404/409/500.",To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend,2026-05-08,2026-05-08,,2,,
QA,Task,QA-22 — Módulo stock: movimientos y reglas de negocio,"IN, OUT, ADJUST; prohibir stock negativo en salida; siempre crear stock_movement; marcar crítico si quantity <= min_stock (RF-STK).",To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend rf-stk,2026-05-08,2026-05-08,,5,,
QA,Task,QA-23 — Endpoints GET /api/v1/stock y /api/v1/stock/movements,Paginación; DTOs; sin serializar entidades JPA al cliente.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 backend,2026-05-08,2026-05-08,,2,,
QA,Story,"QA-24 — UI productos: tabla, filtros y formularios crear/editar","Rutas /products, /products/new, /products/:id/edit; DataTable; ProductForm; skeleton, empty y errores.",To Do,,CAROLINA BENCOSME,inventory-qas fase-1 frontend rf-prod,2026-05-09,2026-05-09,,5,,
QA,Task,"QA-25 — Cliente axios (baseURL, interceptors, errores)",Preparar Bearer token; manejo 401/403 según development-guide (Keycloak en fase 2).,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 frontend,2026-05-09,2026-05-09,,2,,
QA,Story,QA-26 — UI stock: historial y registro de movimientos,Ruta /stock/movements; formularios entrada/salida/ajuste; alineado RF-STK.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 frontend rf-stk,2026-05-09,2026-05-09,,3,,
QA,Task,"QA-27 — AppShell: layout con sidebar, topbar y usuario","Navegación a módulos del plan (dashboard, productos, stock, reportes, auditoría).",To Do,,CAROLINA BENCOSME,inventory-qas fase-1 frontend,2026-05-10,2026-05-10,,2,,
QA,Story,QA-28 — Keycloak: realm inventory-realm y export versionado,"Clients inventory-frontend (public, PKCE) e inventory-api (resource server); roles compuestos; permisos product:view/manage, stock:view/manage, report:view, audit:view, user:manage; realm-export.json en keycloak/.",To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security rf-sec,2026-05-11,2026-05-11,,8,,
QA,Task,QA-29 — Spring Security OAuth2 Resource Server (JWT),"issuer-uri, JWKS; rutas públicas solo las necesarias; integración con tests.",To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security,2026-05-12,2026-05-12,,3,,
QA,Task,QA-30 — @PreAuthorize en todos los endpoints de negocio,Matriz del plan y security-model; JwtAuthoritiesConverter.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security rf-sec,2026-05-12,2026-05-12,,3,,
QA,Task,QA-31 — Frontend: login Keycloak y adjuntar JWT a la API,OAuth2/OIDC PKCE; manejo refresh y logout.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 frontend rf-sec,2026-05-13,2026-05-13,,3,,
QA,Task,QA-32 — ProtectedRoute y PermissionGate,Guardas por permisos del token; ocultar acciones sin authority.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 frontend rf-sec,2026-05-14,2026-05-14,,2,,
QA,Task,QA-33 — CORS restrictivo y tests 401/403,Configuración producción/dev; pruebas API y/o integration documentadas.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 security testing,2026-05-14,2026-05-14,,2,,
QA,Task,QA-34 — Pantalla /users-permissions (user:manage),Resumen lectura de roles/permisos para demostración académica.,To Do,,CAROLINA BENCOSME,inventory-qas fase-2 frontend rf-sec,2026-05-15,2026-05-15,,2,,
QA,Task,QA-35 — Módulo report: dashboard y productos críticos,GET /api/v1/reports/dashboard y /api/v1/reports/critical-products; permiso report:view (RF-RPT).,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 backend rf-rpt,2026-05-16,2026-05-16,,3,,
QA,Task,QA-36 — Módulo audit: API sobre Envers / historial,GET /api/v1/audit paginado; permiso audit:view (RF-AUD).,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 backend rf-aud,2026-05-17,2026-05-17,,3,,
QA,Task,QA-37 — UI /dashboard con KPIs y tablas,KpiCard; métricas del plan; permiso report:view.,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 frontend rf-rpt,2026-05-18,2026-05-18,,3,,
QA,Task,QA-38 — UI /audit consulta paginada,Filtros básicos; permiso audit:view.,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 frontend rf-aud,2026-05-19,2026-05-19,,2,,
QA,Task,QA-39 — Opcional: users_profile y nombres en historial,Asociación keycloak_user_id; uso en movimientos y auditoría.,To Do,,CAROLINA BENCOSME,inventory-qas fase-3 backend,2026-05-20,2026-05-20,,2,,
QA,Task,"QA-40 — Tests unitarios: ProductService, StockService, ReportService","JUnit + Mockito; reglas SKU, precios, stock negativo; JaCoCo meta >=70% servicios críticos.",To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing backend,2026-05-21,2026-05-21,,5,,
QA,Task,QA-41 — Integration tests con Testcontainers (PostgreSQL),Repositories y transacciones; perfil Maven integration-tests.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing backend,2026-05-22,2026-05-22,,3,,
QA,Task,QA-42 — Integration tests de seguridad con Keycloak,KeycloakSecurityIT o equivalente; token y authorities.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing security,2026-05-22,2026-05-22,,3,,
QA,Task,QA-43 — API tests RestAssured (perfil api-tests),"ProductApiTest, StockApiTest, PermissionApiTest (401/403).",To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing api,2026-05-23,2026-05-23,,3,,
QA,Task,QA-44 — Contract testing con Schemathesis (u homólogo),Validación contra OpenAPI en CI si aplica.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing api,2026-05-23,2026-05-23,,2,,
QA,Task,"QA-45 — E2E Playwright: login, productos, stock, permisos, responsive",Estructura tests/e2e/playwright; evidencias screenshots/traces.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing e2e,2026-05-24,2026-05-24,,5,,
QA,Task,QA-46 — OWASP ZAP baseline + dependency check / Snyk,Scripts y reportes HTML; integración pipeline o GA.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing security,2026-05-24,2026-05-24,,3,,
QA,Task,QA-47 — Performance k6: productos y stock,Escenarios carga/stress; resultados en docs o artefactos CI.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing performance,2026-05-25,2026-05-25,,2,,
QA,Task,QA-48 — Validación de migraciones y seeds en CI,Flyway up en entorno test; constraints y datos mínimos.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 testing database,2026-05-25,2026-05-25,,2,,
QA,Task,QA-49 — Actualizar testing-guide.md y qa-evidence.md,Enlaces o rutas a reportes; charters exploratorios; bugs encontrados.,To Do,,CAROLINA BENCOSME,inventory-qas fase-4 docs,2026-05-26,2026-05-26,,2,,
QA,Task,QA-50 — Instrumentación OpenTelemetry en backend,"Métricas, logs y trazas OTLP; OTEL_SERVICE_NAME=inventory-api; endpoint Alloy.",To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability backend,2026-05-27,2026-05-27,,3,,
QA,Task,QA-51 — Configuración Alloy y Prometheus,Scrape de métricas aplicación e infra según observability-guide.,To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability infra,2026-05-28,2026-05-28,,2,,
QA,Task,QA-52 — Pipeline de logs hacia Loki (JSON estructurado),"traceId, spanId, correlationId, usuario, endpoint.",To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-28,2026-05-28,,2,,
QA,Task,QA-53 — Tempo + exploración de trazas en Grafana,Datasource; ejemplo de request completo.,To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-29,2026-05-29,,2,,
QA,Task,"QA-54 — Dashboards Grafana mínimos (infra, app, DB, negocio, seguridad)",Contenido según plan sección 12 y observability-guide.,To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-30,2026-05-30,,3,,
QA,Task,"QA-55 — Alertmanager: reglas CPU, error rate, latencia, auth",Alertas de ejemplo activas; documentación paso a paso.,To Do,,CAROLINA BENCOSME,inventory-qas fase-5 observability,2026-05-30,2026-05-30,,2,,
QA,Task,QA-56 — Compose staging: stack observabilidad completo,"prometheus, grafana, loki, tempo, alloy, alertmanager, sonarqube, jenkins según plan.",To Do,,CAROLINA BENCOSME,inventory-qas fase-5 infra,2026-05-31,2026-05-31,,2,,
QA,Task,QA-57 — GitHub Actions: validación en PR (ci.yml),"Checkout, Java/Node, lint, mvn test, npm build, coverage, Docker build opcional.",To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd github-actions,2026-06-01,2026-06-01,,3,,
QA,Task,QA-58 — GitHub Actions: workflow de seguridad (security.yml),Escaneo de dependencias según estrategia del repo.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd,2026-06-02,2026-06-02,,1,,
QA,Task,QA-59 — Jenkinsfile: pipeline de entrega completa,"Etapas del plan: build, unit, integration, API, E2E, ZAP, Sonar, quality gate, docker, deploy staging, post-deploy smoke, archive artifacts.",To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd jenkins,2026-06-02,2026-06-02,,5,,
QA,Task,"QA-60 — Scripts: run-sonar, run-zap-baseline, smoke-test",Reproducibles en Linux/CI; documentados en README o docs.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 cicd,2026-06-03,2026-06-03,,2,,
QA,Task,QA-61 — SonarQube: análisis + Quality Gate en Jenkins,Subida JaCoCo; fallo pipeline si gate no pasa; captura evidencia.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 quality,2026-06-04,2026-06-04,,2,,
QA,Task,QA-62 — Dockerfiles backend y frontend (+ nginx si producción),Imágenes usadas por docker compose staging.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 infra,2026-06-04,2026-06-04,,2,,
QA,Task,QA-63 — docker-compose.test.yml para pruebas en CI,Servicios mínimos para integration/API según testing-guide.,To Do,,CAROLINA BENCOSME,inventory-qas fase-6 infra,2026-06-05,2026-06-05,,2,,
QA,Task,"QA-64 — Sincronizar docs: requirements, architecture, security-model",Trazabilidad RF/RNF; diagramas coherentes con implementación.,To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-06,2026-06-06,,2,,
QA,Task,QA-65 — Completar deployment-guide.md,"Ambientes dev/staging/prod, variables, troubleshooting, comandos Anexo B.",To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-07,2026-06-07,,2,,
QA,Task,QA-66 — qa-evidence.md: checklist de capturas finales,"Swagger, Keycloak, Grafana, Tempo, Loki, Alertmanager, Jenkins, GA, Sonar, Playwright, ZAP, k6, PRs.",To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs qa-evidence,2026-06-07,2026-06-07,,3,,
QA,Task,QA-67 — Verificar checklist entrega final (plan §18),"Funcionalidad, seguridad, testing, observabilidad, CI/CD, repo y docs.",To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-08,2026-06-08,,2,,
QA,Task,QA-68 — Ramas main/develop y protección de main en GitHub,Sin merge directo a main; Conventional Commits en equipo.,To Do,,CAROLINA BENCOSME,inventory-qas fase-7 process,2026-06-08,2026-06-08,,1,,
QA,Task,QA-69 — Ensayo de defensa técnica (guion Anexo C),"Mensajes clave: monolito modular, permisos granulares, pruebas por capas, observabilidad, CI/CD.",To Do,,CAROLINA BENCOSME,inventory-qas fase-7 docs,2026-06-09,2026-06-09,,1,,
QA,Task,QA-70 — Aplicar estándares development-guide en backend,"Capas, MapStruct/mappers, constructor injection, sin entidades en responses.",To Do,,CAROLINA BENCOSME,inventory-qas quality backend,2026-06-09,2026-06-09,,2,,
QA,Task,QA-71 — Aplicar estándares development-guide en frontend,"TS strict, a11y, estados de UI, convenciones carpetas.",To Do,,CAROLINA BENCOSME,inventory-qas quality frontend,2026-06-10,2026-06-10,,2,,
QA,Task,"QA-72 — Seeds Flyway: categorías, productos y movimientos demo",Datos alineados con usuarios/roles de prueba en Keycloak.,To Do,,CAROLINA BENCOSME,inventory-qas fase-1 database,2026-05-10,2026-05-10,,2,,
QA,Task,QA-73 — [Extra] Report snapshots históricos,Opcional si hay tiempo: tabla report_snapshots y jobs de agregación.,To Do,,CAROLINA BENCOSME,inventory-qas extra,2026-06-10,2026-06-10,,2,,
